sid,nid,nage,ngender,lid,lage,lgender,n2id,n2age,n2gender,nsindex,lsindex,n2sindex,family,pair,group,week,finalweek,cumulweek,intergenerational_index,done,duration,wtest,appversion,appversion2,stat_stories,stat_stories_from_log,stat_editions,stat_editions_from_log,stat_deletions,stat_pictures,stat_questions_views,stat_questions_answered,stat_public_memento_views,stat_public_memento_detail_views,mood_week_narrator,mood_before_narrator,mood_after_narrator,mood_week_listener,mood_before_listener,mood_after_listener,mood_week_narrator2,mood_before_narrator2,mood_after_narrator2,log_traffic,p_score_binary,p_score,s_max_score,sg_score,se_score,set_score,st_score,sr_score,pc_score,pnc_score,cc_score,cnc_score,c_max_score
55,77,67,1,80,22,1,0,NA,NA,1,2,NA,0,6,1,6,6,4,2,1,0.83,1,3,5,2,2,3,3,0,2,16,0,74,2,0,0,39,0,0,38,0,0,NA,116,1,3,2,2,2,0,3,1,3,2,1,0,3
56,78,73,1,81,31,0,0,NA,NA,2,NA,NA,0,7,1,5,4,3,2,1,0.75,0,3,5,3,3,0,0,0,4,12,0,39,4,0,0,40,0,0,NA,0,0,NA,73,1,3,2,0,2,0,3,0,2,2,0,0,2
57,79,78,1,82,28,1,0,NA,NA,2,1,NA,0,8,1,5,6,5,3,1,1,0,2,2,12,12,8,8,0,9,41,0,125,0,0,0,38,0,0,37,0,0,NA,220,0,0,2,1,2,0,3,0,0,3,1,1,1
58,83,90,1,84,29,0,122,80,1,NA,1,NA,1,9,1,5,6,5,3,1,1,0,1,1,1,1,2,2,0,0,1,1,0,0,0,0,38,0,0,NA,0,0,23,10,0,0,1,1,1,0,3,1,0,3,0,2,0
59,69,67,1,71,21,1,0,NA,NA,1,2,NA,0,1,1,6,8,6,2,1,1.07,1,3,5,4,4,3,3,0,1,23,0,46,0,0,0,21,0,0,36,0,0,NA,93,1,3,3,0,3,0,3,0,1,2,3,0,3
60,70,68,1,72,38,0,0,NA,NA,NA,NA,NA,0,2,1,7,8,7,2,1,1,0,1,1,1,1,8,8,0,19,1,0,0,0,0,0,40,0,0,NA,0,0,NA,48,1,3,3,0,3,0,3,2,1,2,0,0,1
63,98,89,1,99,15,1,121,82,1,3,2,2,1,5,1,4,6,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,73,72,0,81,31,0,0,NA,NA,NA,NA,NA,0,3,1,7,7,1,2,1,1.53,0,4,6,4,10,8,8,1,14,42,0,114,0,37.2,0,38,0,29,35,0,0,NA,337,1,3,2,0,2,1,3,2,2,2,0,0,2
62,75,65,1,76,18,1,0,NA,NA,NA,NA,NA,0,4,1,6,7,6,2,1,1.5,1,4,6,0,0,25,25,0,7,55,0,79,0,0,0,29,0,0,26,0,0,NA,199,0,0,0,0,0,0,2,0,0,0,3,0,3
68,103,65,1,81,31,0,0,NA,NA,2,NA,NA,0,15,2,1,1,1,2,1,1.08,0,2,2,3,3,2,2,0,1,10,0,1,0,0,25,30,0,0,NA,0,0,NA,32,0,0,3,1,3,0,2,0,2,3,0,0,2
64,77,67,1,80,22,1,0,NA,NA,1,2,NA,0,6,1,7,6,5,2,1,1.2,0,1,1,2,2,20,20,0,3,1,0,0,0,0,0,35,0,0,37,0,0,NA,69,1,2,1,1,1,0,2,0,2,0,3,0,3
65,78,73,1,81,31,0,0,NA,NA,2,NA,NA,0,7,1,6,4,4,2,1,1.03,1,2,2,5,5,1,1,0,7,12,0,0,0,0,0,40,0,0,38,0,0,NA,36,1,3,3,0,3,2,3,2,2,2,2,0,2
66,79,78,1,82,28,1,0,NA,NA,2,1,NA,0,8,1,6,6,6,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,83,90,1,84,29,0,122,80,1,NA,1,NA,1,9,1,6,6,6,3,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,69,67,1,71,21,1,0,NA,NA,1,2,NA,0,1,1,7,8,7,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,70,68,1,72,38,0,0,NA,NA,NA,NA,NA,0,2,1,8,8,8,2,1,1.17,0,4,6,4,10,4,4,0,46,39,0,65,0,NA,NA,37,0,0,NA,0,0,NA,200,1,3,3,0,3,0,3,2,1,3,0,0,1
72,75,65,1,76,18,1,0,NA,NA,NA,NA,NA,0,4,1,7,7,6,2,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,73,72,0,74,28,1,0,NA,NA,NA,2,NA,0,3,1,8,7,6,2,1,0.83,0,3,5,8,8,11,11,0,24,55,0,113,0,35,NA,NA,0,0,NA,0,0,NA,327,1,2,1,0,1,0,1,0,1,3,0,0,1
73,98,89,1,99,15,1,121,82,1,3,2,2,1,5,1,4,6,4,4,1,1,0,1,1,2,2,2,2,0,1,0,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,77,67,1,80,22,1,0,NA,NA,1,2,NA,0,6,1,8,6,6,2,1,0.93,0,4,6,5,11,7,7,0,16,44,0,80,0,0,0,36,0,0,39,0,0,NA,223,1,3,3,0,3,0,2,2,3,0,0,0,3
75,78,73,1,141,32,1,0,NA,NA,2,2,NA,0,7,1,7,1,1,2,1,0.87,0,1,1,4,4,0,0,0,2,1,0,1,0,0,0,40,0,0,NA,0,0,NA,117,1,3,2,2,2,0,3,0,2,2,1,0,2
77,83,90,1,84,29,0,122,80,1,NA,1,NA,1,9,1,6,6,6,3,1,1.25,0,4,6,9,10,3,4,0,12,37,0,65,0,0,0,37,0,0,37,0,0,33,177,1,2,3,2,3,2,3,2,1,3,0,2,1
76,79,78,1,82,28,1,0,NA,NA,2,1,NA,0,8,1,6,6,6,3,1,1.25,0,1,1,5,5,1,0,0,6,0,0,0,0,0,0,39,0,0,37,0,0,NA,26,1,1,3,2,2,3,3,2,2,2,0,3,2
78,104,68,1,141,32,1,0,NA,NA,2,2,NA,0,16,2,1,1,1,2,1,1.2,0,1,1,6,5,2,2,0,2,2,0,4,0,0,40,40,0,0,36,0,0,NA,35,1,2,1,0,1,0,3,1,0,2,0,0,0
82,75,65,1,2,29,0,0,NA,NA,NA,NA,NA,0,4,1,7,1,1,2,1,1.08,0,1,1,5,5,8,8,0,7,21,0,52,0,0,0,40,0,0,NA,0,0,NA,121,1,3,3,0,3,0,2,1,2,1,0,0,2
83,98,89,1,99,15,1,121,82,1,3,2,2,1,5,1,5,6,5,4,1,0.83,0,4,6,6,6,2,2,0,3,23,1,39,0,0,0,29,0,0,NA,0,0,NA,87,1,2,3,3,1,0,2,1,2,3,0,0,2
79,69,67,1,71,21,1,0,NA,NA,1,2,NA,0,1,1,7,8,7,2,1,1,0,2,2,2,3,4,4,1,7,12,0,0,0,0,0,38,0,0,40,0,0,NA,39,1,2,3,1,2,3,3,2,3,0,0,0,3
85,78,73,1,137,29,1,0,NA,NA,2,NA,NA,0,7,1,8,1,1,2,1,1,0,4,6,3,3,3,3,0,2,1,0,0,0,0,0,40,0,0,36,0,0,NA,23,1,3,1,1,1,1,3,0,2,2,2,0,2
93,98,89,1,99,15,1,121,82,1,3,2,2,1,5,1,6,6,6,4,1,1.33,0,3,5,3,3,0,0,0,6,12,0,29,0,0,0,36,0,0,39,0,0,33,58,1,2,0,0,0,0,3,2,2,3,0,0,2
88,105,66,1,138,29,1,0,NA,NA,1,1,NA,0,17,2,1,1,1,2,1,1.67,0,4,6,2,1,1,1,0,4,6,0,15,1,0,38,40,0,28,40,0,0,NA,46,1,3,2,1,2,0,3,0,2,2,1,0,2
92,75,65,1,76,18,1,0,NA,NA,NA,NA,NA,0,4,1,8,7,7,2,1,1,0,4,6,4,9,8,8,0,32,8,0,14,0,0,0,36,0,0,33,0,0,NA,138,1,3,0,0,0,0,2,1,0,0,0,3,0
89,69,67,1,71,21,1,0,NA,NA,1,2,NA,0,1,1,8,8,8,2,1,1.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,38,0,0,NA,27,NA,1,3,3,1,1,2,3,1,0,3,0,3
98,106,64,1,138,29,1,0,NA,NA,2,1,NA,0,18,2,1,1,1,2,1,1.67,0,3,3,5,4,14,14,0,7,16,1,9,0,0,32,33,0,32,33,0,0,NA,74,1,2,2,1,2,0,3,1,2,1,3,0,3
